,album_type,id,image,name,release_date,total_tracks,uri,url
0,album,0IuHVgAvbNDJnJepuSZ8Oz,https://i.scdn.co/image/871910879d96353fd909a24307625282cd5bbf69,The Time Of Our Lives (International Version),2009-01-01,8,spotify:album:0IuHVgAvbNDJnJepuSZ8Oz,https://open.spotify.com/album/0IuHVgAvbNDJnJepuSZ8Oz
1,album,3wBabo4pmzsYjALMSKY7Iq,https://i.scdn.co/image/d431bed3736ab2699029b8e068bbb5347a369c30,Illuminate (Deluxe),2017-04-20,16,spotify:album:3wBabo4pmzsYjALMSKY7Iq,https://open.spotify.com/album/3wBabo4pmzsYjALMSKY7Iq
2,album,3KziODx7ieQTgYCVrS6nBv,https://i.scdn.co/image/94105e271865c28853bfb7b44b38353a2fea45d6,Hollywood's Bleeding,2019-09-06,17,spotify:album:3KziODx7ieQTgYCVrS6nBv,https://open.spotify.com/album/3KziODx7ieQTgYCVrS6nBv
3,single,0NVQ9k3wKmuK6T02lLMl6y,https://i.scdn.co/image/cc99138518f5c372f347131d6c069fa89c05f90a,Breach,2018-11-08,4,spotify:album:0NVQ9k3wKmuK6T02lLMl6y,https://open.spotify.com/album/0NVQ9k3wKmuK6T02lLMl6y
5,single,4mTzezatFBCJOr8s2QJrRY,https://i.scdn.co/image/68e8af4122e3502d997d6bc9a8638d847cfdca8d,It Will Feel,2019-09-27,1,spotify:album:4mTzezatFBCJOr8s2QJrRY,https://open.spotify.com/album/4mTzezatFBCJOr8s2QJrRY
6,album,7oc6i8xUILaWwQ5BJMZS3c,https://i.scdn.co/image/0a9862036a53c6c999b48bfdbee0b50eddcb95e9,Tha Carter IV (Deluxe),2011-01-01,18,spotify:album:7oc6i8xUILaWwQ5BJMZS3c,https://open.spotify.com/album/7oc6i8xUILaWwQ5BJMZS3c
7,single,71nefcDnnKgvaXbmo0EDYR,https://i.scdn.co/image/ab67616d0000b273079225a05ce2db6a55aa6258,Orange Juice (feat. Youkii),2019-09-27,1,spotify:album:71nefcDnnKgvaXbmo0EDYR,https://open.spotify.com/album/71nefcDnnKgvaXbmo0EDYR
8,single,2hBfao8GWZwHlUGDB8HVQO,https://i.scdn.co/image/ab67616d0000b273ad79d30f49891b2a2f7757f8,Nothing Breaks Like a Heart (feat. Miley Cyrus),2018-11-30,1,spotify:album:2hBfao8GWZwHlUGDB8HVQO,https://open.spotify.com/album/2hBfao8GWZwHlUGDB8HVQO
9,single,4xP92MEGpK04DOLBGsyqYw,https://i.scdn.co/image/835c20ee8cef6b5a648c046fff0dfd372b3d6406,Green Light,2019-10-04,1,spotify:album:4xP92MEGpK04DOLBGsyqYw,https://open.spotify.com/album/4xP92MEGpK04DOLBGsyqYw
10,single,0UE1NgQShQFkOuSux99bJG,https://i.scdn.co/image/ced8730e3fa38772af5625beb80c1180ebedd112,Tried to Love,2019-10-11,1,spotify:album:0UE1NgQShQFkOuSux99bJG,https://open.spotify.com/album/0UE1NgQShQFkOuSux99bJG
11,single,6nAjd2MlBY1f1mNu6BsWLO,https://i.scdn.co/image/ab67616d0000b27382c80d6ec5b001d9ae49564d,Happy Now,2018-10-26,1,spotify:album:6nAjd2MlBY1f1mNu6BsWLO,https://open.spotify.com/album/6nAjd2MlBY1f1mNu6BsWLO
12,album,0syM7OUAhV7S6XmOa4nLUZ,https://i.scdn.co/image/5b83ca39a6ce8ba4f4899a5477fa4c35f8e2407b,Ivy To Roses (Mixtape),2019-01-18,15,spotify:album:0syM7OUAhV7S6XmOa4nLUZ,https://open.spotify.com/album/0syM7OUAhV7S6XmOa4nLUZ
13,single,31J0UqxAkl9utyC0L59Mae,https://i.scdn.co/image/ab67616d0000b273d355c4cf741193b97849af1a,Born To Be Yours,2018-06-15,1,spotify:album:31J0UqxAkl9utyC0L59Mae,https://open.spotify.com/album/31J0UqxAkl9utyC0L59Mae
14,album,20Ol6zZ0nLlc5EGTH1zA0j,https://i.scdn.co/image/f03a949ab5cf43f73c09d3593e3510f2d7c59e07,Delirium (Deluxe),2015-11-06,22,spotify:album:20Ol6zZ0nLlc5EGTH1zA0j,https://open.spotify.com/album/20Ol6zZ0nLlc5EGTH1zA0j
15,single,4PwXTHenZZx7ebgsnTM65K,https://i.scdn.co/image/ab67616d0000b273a9a9d8a16c0b4146fb707c02,Giant (with Rag'n'Bone Man),2019-01-11,1,spotify:album:4PwXTHenZZx7ebgsnTM65K,https://open.spotify.com/album/4PwXTHenZZx7ebgsnTM65K
16,single,0agqVZjOqVtqHkq3pTFPXb,https://i.scdn.co/image/ab67616d0000b2733a03f819723487ee3d5b0c36,Piece Of Your Heart,2019-02-01,1,spotify:album:0agqVZjOqVtqHkq3pTFPXb,https://open.spotify.com/album/0agqVZjOqVtqHkq3pTFPXb
17,single,7rip3duZDpr0mHBsCXrpmy,https://i.scdn.co/image/5a8132773184a9a0039eab3876ae7121699a390e,Mad Love,2018-02-15,1,spotify:album:7rip3duZDpr0mHBsCXrpmy,https://open.spotify.com/album/7rip3duZDpr0mHBsCXrpmy
18,single,0WGakTFs8cnggcYsHjIhgy,https://i.scdn.co/image/ab67616d0000b27351e4bcd72f4d8c30111f5a4b,ME!,2019-04-26,1,spotify:album:0WGakTFs8cnggcYsHjIhgy,https://open.spotify.com/album/0WGakTFs8cnggcYsHjIhgy
19,single,2CSFgqs40zh5CdylN5q4Ao,https://i.scdn.co/image/33131d36ba64b199b402af8644ef0383f486a693,When You're Gone,2019-10-11,1,spotify:album:2CSFgqs40zh5CdylN5q4Ao,https://open.spotify.com/album/2CSFgqs40zh5CdylN5q4Ao
20,single,1EecOHqbqyYUSpQT1aOxlF,https://i.scdn.co/image/a7430f4bded912874374a74502297c2dc1e6c10a,Eternally,2019-10-11,1,spotify:album:1EecOHqbqyYUSpQT1aOxlF,https://open.spotify.com/album/1EecOHqbqyYUSpQT1aOxlF
21,single,3KjCdhPbjbLptyJzviKu4P,https://i.scdn.co/image/d433ba9aa762fd1d86c99d5ebdd64388b9bb7acb,Rise,2018-05-25,1,spotify:album:3KjCdhPbjbLptyJzviKu4P,https://open.spotify.com/album/3KjCdhPbjbLptyJzviKu4P
22,single,4BTlXiDFjyJfpHjR7jlEJo,https://i.scdn.co/image/ab67616d0000b2739f5a5f3d50cd3939ba8e465c,Cheap Thrills,2016-02-11,1,spotify:album:4BTlXiDFjyJfpHjR7jlEJo,https://open.spotify.com/album/4BTlXiDFjyJfpHjR7jlEJo
23,single,04IMrSQ7UxeYBDWAUf5HMc,https://i.scdn.co/image/ab67616d0000b27310e3276edd7706710560bd4c,Sorry Not Sorry,2017-07-11,1,spotify:album:04IMrSQ7UxeYBDWAUf5HMc,https://open.spotify.com/album/04IMrSQ7UxeYBDWAUf5HMc
24,single,10bTwLR8vJxwE2SeHZxkrS,https://i.scdn.co/image/4269339959dece5ea394b352ae235d8e52e8519a,Polaroid,2018-10-05,1,spotify:album:10bTwLR8vJxwE2SeHZxkrS,https://open.spotify.com/album/10bTwLR8vJxwE2SeHZxkrS
25,single,2AkKk7DFnT2IV1gPcq7RCQ,https://i.scdn.co/image/ab67616d0000b27365d28ba9f50b2eba46ffc55c,no tears left to cry,2018-04-20,1,spotify:album:2AkKk7DFnT2IV1gPcq7RCQ,https://open.spotify.com/album/2AkKk7DFnT2IV1gPcq7RCQ
26,single,38kpkGLuPr1nNfD3iEyOlJ,https://i.scdn.co/image/ab67616d0000b273bc5839eea68e7ff7f1010f93,Old Town Road,2019-04-05,2,spotify:album:38kpkGLuPr1nNfD3iEyOlJ,https://open.spotify.com/album/38kpkGLuPr1nNfD3iEyOlJ
27,single,0LwHCgw6mequ1dExqQEFpS,https://i.scdn.co/image/ab67616d0000b273740e5073699ef09f02d73d05,Woman Like Me (feat. Nicki Minaj),2018-10-12,1,spotify:album:0LwHCgw6mequ1dExqQEFpS,https://open.spotify.com/album/0LwHCgw6mequ1dExqQEFpS
28,single,1ONuDpN0a3zhCUyKCgtuzK,https://i.scdn.co/image/8edd8bc03d2c2c92b52d0b908e300acc4b9c98a2,World War Joy,2019-05-31,4,spotify:album:1ONuDpN0a3zhCUyKCgtuzK,https://open.spotify.com/album/1ONuDpN0a3zhCUyKCgtuzK
29,album,28ZKQMoNBB0etKXZ97G2SN,https://i.scdn.co/image/ab67616d0000b273aac98daa18e4edf54d7a0a70,Beauty Behind The Madness,2015-08-28,14,spotify:album:28ZKQMoNBB0etKXZ97G2SN,https://open.spotify.com/album/28ZKQMoNBB0etKXZ97G2SN
30,single,79BbEqR3l7qGKd61y9S8Oj,https://i.scdn.co/image/ab67616d0000b273f3f5639f9dec68ed0af1ac4d,I Really Like You,2015-03-02,1,spotify:album:79BbEqR3l7qGKd61y9S8Oj,https://open.spotify.com/album/79BbEqR3l7qGKd61y9S8Oj
31,single,42Eo9j3Koj7CP45lcqNfaa,https://i.scdn.co/image/ab67616d0000b273e8027f9da210df35c8f1c500,I Want You To Know,2015-02-23,1,spotify:album:42Eo9j3Koj7CP45lcqNfaa,https://open.spotify.com/album/42Eo9j3Koj7CP45lcqNfaa
32,album,7A8fZ2jjiu5heq7wNCutKN,https://i.scdn.co/image/ab67616d0000b2736b755c0393157c262daf77e4,VHS,2015-06-30,20,spotify:album:7A8fZ2jjiu5heq7wNCutKN,https://open.spotify.com/album/7A8fZ2jjiu5heq7wNCutKN
33,single,5qklOJdg6WTDIZc6W1YjDQ,https://i.scdn.co/image/ab67616d0000b273e31fe902958a5a1a0b2497a8,Daya,2015-09-04,6,spotify:album:5qklOJdg6WTDIZc6W1YjDQ,https://open.spotify.com/album/5qklOJdg6WTDIZc6W1YjDQ
34,single,5eKdMH1IZe0nGMYSDIdt6e,https://i.scdn.co/image/ab67616d0000b273ed8876ac4290edf29f423c57,Heartbeat Song,2015-01-12,1,spotify:album:5eKdMH1IZe0nGMYSDIdt6e,https://open.spotify.com/album/5eKdMH1IZe0nGMYSDIdt6e
35,single,7IOGGleQTdhE3TVCb9vMzt,https://i.scdn.co/image/ab67616d0000b2736a5f2bacf6956f23f0fc4cab,Love Myself,2015-08-07,1,spotify:album:7IOGGleQTdhE3TVCb9vMzt,https://open.spotify.com/album/7IOGGleQTdhE3TVCb9vMzt
36,single,4L9b6Oe9iEHHvK1MA2PqZU,https://i.scdn.co/image/ab67616d0000b2730799c2c2422227e40a26f8b1,Call On Me (Remixes),2016-09-23,5,spotify:album:4L9b6Oe9iEHHvK1MA2PqZU,https://open.spotify.com/album/4L9b6Oe9iEHHvK1MA2PqZU
37,single,4v62Eu3WGIFCBMy9WlD7hY,https://i.scdn.co/image/2aeb30767ea1e32d1db1ef5b2638abbdacbbccb2,Nirvana,2013-01-01,7,spotify:album:4v62Eu3WGIFCBMy9WlD7hY,https://open.spotify.com/album/4v62Eu3WGIFCBMy9WlD7hY
38,album,1M0vpI6KG4y0RwRuQ8SQxT,https://i.scdn.co/image/ab67616d0000b2732be93806f9e42dd34d1f1978,Montevallo,2014-10-24,10,spotify:album:1M0vpI6KG4y0RwRuQ8SQxT,https://open.spotify.com/album/1M0vpI6KG4y0RwRuQ8SQxT
39,single,2VawBjnDpK1sa3iEERjiAq,https://i.scdn.co/image/ab67616d0000b273297b2c53224bd19162f526e3,Chandelier,2014-03-17,1,spotify:album:2VawBjnDpK1sa3iEERjiAq,https://open.spotify.com/album/2VawBjnDpK1sa3iEERjiAq
40,album,3egRoultzC0Q1RtbDjFXLP,https://i.scdn.co/image/15b29a0823f17a8f2565d8a6e06c5d057747ab6f,SEX AND LOVE (Deluxe Edition),2014-07-04,16,spotify:album:3egRoultzC0Q1RtbDjFXLP,https://open.spotify.com/album/3egRoultzC0Q1RtbDjFXLP
41,single,1SI0AMK6rb2J8S0Jazli9D,https://i.scdn.co/image/ab67616d0000b273f33d3ac4408cd74c6752dacd,Lean On (feat. MØ & DJ Snake),2015-03-02,1,spotify:album:1SI0AMK6rb2J8S0Jazli9D,https://open.spotify.com/album/1SI0AMK6rb2J8S0Jazli9D
42,single,31VgmdtmYLMb31XhP3RPVc,https://i.scdn.co/image/ab67616d0000b273eba9231818a0dda6a5fbeeb8,I Took A Pill In Ibiza (Seeb Remix),2015-07-24,1,spotify:album:31VgmdtmYLMb31XhP3RPVc,https://open.spotify.com/album/31VgmdtmYLMb31XhP3RPVc
43,album,7w19PFbxAjwZ7UVNp9z0uT,https://i.scdn.co/image/ab67616d0000b273dcef905cb144d4867119850b,18 Months,2012-10-26,15,spotify:album:7w19PFbxAjwZ7UVNp9z0uT,https://open.spotify.com/album/7w19PFbxAjwZ7UVNp9z0uT
44,album,7I4Vx91kradxSJNwg1ycbq,https://i.scdn.co/image/ab67616d0000b273f575130838bc98c4f2b17312,Global Warming (Deluxe Version),2012-11-19,16,spotify:album:7I4Vx91kradxSJNwg1ycbq,https://open.spotify.com/album/7I4Vx91kradxSJNwg1ycbq
45,single,1otwHKoQ5KPaiekpYk4tWh,https://i.scdn.co/image/766d4badffb7fe6b45ecfa7f737c20e9382a4b78,Con Calma,2019-01-24,1,spotify:album:1otwHKoQ5KPaiekpYk4tWh,https://open.spotify.com/album/1otwHKoQ5KPaiekpYk4tWh
46,single,5xx8Jv66fH3T8DD5L985vd,https://i.scdn.co/image/ab67616d0000b273883179d0260c3d2faf3a3d4b,We Can't Stop,2013-06-03,1,spotify:album:5xx8Jv66fH3T8DD5L985vd,https://open.spotify.com/album/5xx8Jv66fH3T8DD5L985vd
47,single,3syh4e0H2YnXmzGzP5Rd3G,https://i.scdn.co/image/ab67616d0000b2737a642f7a662f4c94683ac038,Anywhere,2017-10-20,1,spotify:album:3syh4e0H2YnXmzGzP5Rd3G,https://open.spotify.com/album/3syh4e0H2YnXmzGzP5Rd3G
48,single,5jfuIbTeaLhBZxsCVv3QyM,https://i.scdn.co/image/ab67616d0000b2735cf78b9932b45387375528eb,Fast Car,2015-12-04,1,spotify:album:5jfuIbTeaLhBZxsCVv3QyM,https://open.spotify.com/album/5jfuIbTeaLhBZxsCVv3QyM
49,single,0dNtcQ9V2sXifWktjrspYP,https://i.scdn.co/image/ab67616d0000b273092fa3cd64dbcae3e02326f5,Wild Ones (feat. Sia),2011-12-19,1,spotify:album:0dNtcQ9V2sXifWktjrspYP,https://open.spotify.com/album/0dNtcQ9V2sXifWktjrspYP
50,single,4IjfVRMzE8yNH84Q6UZSV6,https://i.scdn.co/image/ab67616d0000b273eae3a0656610821e43139c10,Drive By,2012-01-10,1,spotify:album:4IjfVRMzE8yNH84Q6UZSV6,https://open.spotify.com/album/4IjfVRMzE8yNH84Q6UZSV6
51,single,02GFLugkFRP86wz05s4DmW,https://i.scdn.co/image/ab67616d0000b273282f3a36a0cd61ee7942f4bf,We Found Love,2011-01-01,1,spotify:album:02GFLugkFRP86wz05s4DmW,https://open.spotify.com/album/02GFLugkFRP86wz05s4DmW
52,single,3rHjznKxeCNz38iF3tGv4J,https://i.scdn.co/image/ab67616d0000b2731d75bb4aadfc620497c5db0f,What About Us,2017-08-10,1,spotify:album:3rHjznKxeCNz38iF3tGv4J,https://open.spotify.com/album/3rHjznKxeCNz38iF3tGv4J
53,album,4EUf4YyNjuXypWY6W5wEDm,https://i.scdn.co/image/ab67616d0000b2731e340d1480e7bb29a45e3bd7,Globalization,2014-11-21,11,spotify:album:4EUf4YyNjuXypWY6W5wEDm,https://open.spotify.com/album/4EUf4YyNjuXypWY6W5wEDm
54,album,6Ad1E9vl75ZB3Ir87zwXIJ,https://i.scdn.co/image/b04be8ad2850e2e21ac9f951c06651ccf8150ecc,TIM,2019-06-06,12,spotify:album:6Ad1E9vl75ZB3Ir87zwXIJ,https://open.spotify.com/album/6Ad1E9vl75ZB3Ir87zwXIJ
55,single,1iNj9EcvHmhI7KMbKcTwCX,https://i.scdn.co/image/ab67616d0000b2735cad079feee3ab18c2396363,Price Tag,2011-01-01,5,spotify:album:1iNj9EcvHmhI7KMbKcTwCX,https://open.spotify.com/album/1iNj9EcvHmhI7KMbKcTwCX
56,single,1tFnP9PwIMeMIuj92mfswZ,https://i.scdn.co/image/ab67616d0000b273c736f0be0530ea1e1a7fd601,Calma (Remix),2018-10-05,1,spotify:album:1tFnP9PwIMeMIuj92mfswZ,https://open.spotify.com/album/1tFnP9PwIMeMIuj92mfswZ
57,single,0RgaDLUODWKB7xV8PBd69c,https://i.scdn.co/image/ab67616d0000b273d0387c72436d641f58faecf5,Runnin' (Lose It All),2015-09-17,1,spotify:album:0RgaDLUODWKB7xV8PBd69c,https://open.spotify.com/album/0RgaDLUODWKB7xV8PBd69c
58,compilation,7cGwF2HvWoiPDiVIhLIhuq,https://i.scdn.co/image/8f69d013d4db5aa78171c0e9690fe428cb9d38b0,100x Zomer 2013,2013-01-01,100,spotify:album:7cGwF2HvWoiPDiVIhLIhuq,https://open.spotify.com/album/7cGwF2HvWoiPDiVIhLIhuq
59,album,2AGNF8r2y8HL85yVk2bwmS,https://i.scdn.co/image/b9c7dc2e995af7ccfa8f1e58bd7beeeae30357f3,Know-It-All (Deluxe),2016-03-11,15,spotify:album:2AGNF8r2y8HL85yVk2bwmS,https://open.spotify.com/album/2AGNF8r2y8HL85yVk2bwmS
60,compilation,2tUn9E3nHXhUIJ47yv6ePD,https://i.scdn.co/image/ab67616d0000b273ece7e052f39ec51fac31aa39,Greatest Hits...So Far!!!,2010-11-12,18,spotify:album:2tUn9E3nHXhUIJ47yv6ePD,https://open.spotify.com/album/2tUn9E3nHXhUIJ47yv6ePD
61,album,5cF37GGLCIEuJeB2kc2J6N,https://i.scdn.co/image/ab67616d0000b2739d752eb8b01d6b39c13f2041,Jordin Sparks,2008-04-11,13,spotify:album:5cF37GGLCIEuJeB2kc2J6N,https://open.spotify.com/album/5cF37GGLCIEuJeB2kc2J6N
62,album,1G2ZRwcqN6warfakvcPgEs,https://i.scdn.co/image/ab67616d0000b273ad4ef80be7f5e15d64ac5c25,Good Girl Gone Bad: Reloaded,2008-06-02,15,spotify:album:1G2ZRwcqN6warfakvcPgEs,https://open.spotify.com/album/1G2ZRwcqN6warfakvcPgEs
63,album,0DEsmIQ5ir7tz52Nkf4i1K,https://i.scdn.co/image/ab67616d0000b273291365c950592bee8e415f63,Jason Derulo (International),2010-02-26,10,spotify:album:0DEsmIQ5ir7tz52Nkf4i1K,https://open.spotify.com/album/0DEsmIQ5ir7tz52Nkf4i1K
64,album,67j3NJodNRI8USUwKwTZA6,https://i.scdn.co/image/ab67616d0000b2739bc57d66a2e1c9ed8ddc18f1,The Fame Monster (International Deluxe),2009-01-01,24,spotify:album:67j3NJodNRI8USUwKwTZA6,https://open.spotify.com/album/67j3NJodNRI8USUwKwTZA6
65,album,3PogVmhNucYNfyywZvTd7F,https://i.scdn.co/image/ab67616d0000b273f20b0a39716f7958ddda8c16,Recovery,2010-06-18,17,spotify:album:3PogVmhNucYNfyywZvTd7F,https://open.spotify.com/album/3PogVmhNucYNfyywZvTd7F
66,single,6dF2GLy901gXd8OHZ0kLGG,https://i.scdn.co/image/ab67616d0000b2736628c9fa724078b2a0de28c7,Higher,2010-01-01,1,spotify:album:6dF2GLy901gXd8OHZ0kLGG,https://open.spotify.com/album/6dF2GLy901gXd8OHZ0kLGG
67,single,5G987h8uFAMrgBKNs5BAcu,https://i.scdn.co/image/ab67616d0000b273f9199ab916f56d486cf5b04b,Hurt People (with Aloe Blacc),2019-05-17,1,spotify:album:5G987h8uFAMrgBKNs5BAcu,https://open.spotify.com/album/5G987h8uFAMrgBKNs5BAcu
68,album,6H7mXPXFFDOpby7Xcke1vh,https://i.scdn.co/image/ab67616d0000b2737cd0e09e531fbca549d76cbf,#willpower (Deluxe),2013-01-01,18,spotify:album:6H7mXPXFFDOpby7Xcke1vh,https://open.spotify.com/album/6H7mXPXFFDOpby7Xcke1vh
69,album,4dJEFzP7jsjfN0isbXLc7r,https://i.scdn.co/image/ab67616d0000b27316425d5cea203d4a9fa43c74,MoveMeant (International),2010-01-01,11,spotify:album:4dJEFzP7jsjfN0isbXLc7r,https://open.spotify.com/album/4dJEFzP7jsjfN0isbXLc7r
71,single,2EKXoS58MiZRrNXz3DKxv3,https://i.scdn.co/image/ab67616d0000b2736cd31c5ff88271d694de82df,On The Floor,2011-01-01,1,spotify:album:2EKXoS58MiZRrNXz3DKxv3,https://open.spotify.com/album/2EKXoS58MiZRrNXz3DKxv3
72,single,6cz9LN10UayYYYrutQTYBO,https://i.scdn.co/image/ab67616d0000b273756999cb94cb3d5ef9ee7b13,More,2010-11-19,1,spotify:album:6cz9LN10UayYYYrutQTYBO,https://open.spotify.com/album/6cz9LN10UayYYYrutQTYBO
73,album,6lBTYoX7ZzU2Xbf8RHAv0u,https://i.scdn.co/image/ab67616d0000b273ec266f44e65446dc8846e536,The New Classic,2014-01-01,12,spotify:album:6lBTYoX7ZzU2Xbf8RHAv0u,https://open.spotify.com/album/6lBTYoX7ZzU2Xbf8RHAv0u
74,album,7JOCOjZTcLysDMkZGWlcIj,https://i.scdn.co/image/ab67616d0000b2732e3049fef96abebf336b7366,#3 Deluxe Version,2012-09-07,17,spotify:album:7JOCOjZTcLysDMkZGWlcIj,https://open.spotify.com/album/7JOCOjZTcLysDMkZGWlcIj
75,single,2Ib7wM5qXKXDzZFhzNQ7TG,https://i.scdn.co/image/ab67616d0000b2735366ff028970205a29d558ed,SUBEME LA RADIO,2017-02-24,1,spotify:album:2Ib7wM5qXKXDzZFhzNQ7TG,https://open.spotify.com/album/2Ib7wM5qXKXDzZFhzNQ7TG
76,single,74JkTYeuAlUUNuusDyAl3Q,https://i.scdn.co/image/ab67616d0000b273eb2ed001725f6548feb2c37c,Forever,2007-11-02,1,spotify:album:74JkTYeuAlUUNuusDyAl3Q,https://open.spotify.com/album/74JkTYeuAlUUNuusDyAl3Q
77,album,2dBgWXp41imu2zBNv9oFxZ,https://i.scdn.co/image/ab67616d0000b273d77dbcd4dbd37cdfa61771fa,Fénix,2017-01-20,26,spotify:album:2dBgWXp41imu2zBNv9oFxZ,https://open.spotify.com/album/2dBgWXp41imu2zBNv9oFxZ
78,single,6lrm01OVZZVmarH2XLSAXZ,https://i.scdn.co/image/ab67616d0000b273528e7f2b6eda1b2a20ccfb1f,Your Song,2017-05-25,1,spotify:album:6lrm01OVZZVmarH2XLSAXZ,https://open.spotify.com/album/6lrm01OVZZVmarH2XLSAXZ
79,single,4jWvfSXcJ1uBm3lBBvrb7m,https://i.scdn.co/image/ab67616d0000b2737fe0e5ab2c2fff4947cb1579,Rain,2017-07-14,1,spotify:album:4jWvfSXcJ1uBm3lBBvrb7m,https://open.spotify.com/album/4jWvfSXcJ1uBm3lBBvrb7m
80,single,19Bu5rIKyUh3lXw8hfk6WO,https://i.scdn.co/image/ab67616d0000b273df5b4bb2ee00999c60ce05b7,Questions,2017-08-18,1,spotify:album:19Bu5rIKyUh3lXw8hfk6WO,https://open.spotify.com/album/19Bu5rIKyUh3lXw8hfk6WO
81,compilation,1YI5yNJkzhBpN0BoK9AO4B,https://i.scdn.co/image/ab67616d0000b273caab4c5bfeaaa5adb89379c6,Rewind - The Collection,2001,19,spotify:album:1YI5yNJkzhBpN0BoK9AO4B,https://open.spotify.com/album/1YI5yNJkzhBpN0BoK9AO4B
82,single,6GPV0x3fUwSE4EJOAcbSWo,https://i.scdn.co/image/ab67616d0000b2738755773e149234728f99a6a8,Close,2016-03-25,1,spotify:album:6GPV0x3fUwSE4EJOAcbSWo,https://open.spotify.com/album/6GPV0x3fUwSE4EJOAcbSWo
83,single,4jm93TAkXK8ZczlJkgXoDu,https://i.scdn.co/image/ab67616d0000b273ae3593ac4f0ffed34b608b11,Dreamer,2017-12-08,1,spotify:album:4jm93TAkXK8ZczlJkgXoDu,https://open.spotify.com/album/4jm93TAkXK8ZczlJkgXoDu
84,single,2wRRkEL20LRmLg64NI2Ru2,https://i.scdn.co/image/ab67616d0000b2730ac9a58447dfccc5127248e0,Échame La Culpa,2017-11-17,1,spotify:album:2wRRkEL20LRmLg64NI2Ru2,https://open.spotify.com/album/2wRRkEL20LRmLg64NI2Ru2
85,album,4UmxGKx0oAB7vzKoxhOKO1,https://i.scdn.co/image/ab67616d0000b27347809211d3722791987e04a9,Hot,2010-04-19,12,spotify:album:4UmxGKx0oAB7vzKoxhOKO1,https://open.spotify.com/album/4UmxGKx0oAB7vzKoxhOKO1
86,album,2F7tejLHzTqFq2XLol9ZGy,https://i.scdn.co/image/ab67616d0000b273f2486b438645e97b523e4f90,Global Warming: Meltdown (Deluxe Version),2012,17,spotify:album:2F7tejLHzTqFq2XLol9ZGy,https://open.spotify.com/album/2F7tejLHzTqFq2XLol9ZGy
87,album,1jUoeAbO2HCADZ1uiyLYIo,https://i.scdn.co/image/c6ac3e62661a2dbaf455f7cefe7cca336275655f,Bad Blood,2013-01-01,13,spotify:album:1jUoeAbO2HCADZ1uiyLYIo,https://open.spotify.com/album/1jUoeAbO2HCADZ1uiyLYIo
89,album,7eIdlHTVcGUhf6WGGffQES,https://i.scdn.co/image/ab67616d0000b2732e8c8d4d1d119d7aced95c31,Forget The World (Deluxe),2014-01-01,16,spotify:album:7eIdlHTVcGUhf6WGGffQES,https://open.spotify.com/album/7eIdlHTVcGUhf6WGGffQES
90,single,6bV4Ee8NU7YubrdPec3ab5,https://i.scdn.co/image/ab67616d0000b27379e3dad4d452f452112d59d9,The Days / Nights,2014-12-01,4,spotify:album:6bV4Ee8NU7YubrdPec3ab5,https://open.spotify.com/album/6bV4Ee8NU7YubrdPec3ab5
91,single,0OPchq4bHgKDaJUBJFITgy,https://i.scdn.co/image/ab67616d0000b27327730aba361badda4ef3a78b,King,2015-01-11,1,spotify:album:0OPchq4bHgKDaJUBJFITgy,https://open.spotify.com/album/0OPchq4bHgKDaJUBJFITgy
92,single,3uok8QCPYBgdWV2HxQp5zw,https://i.scdn.co/image/ab67616d0000b27336d75a2637c3860404de1e2f,F**kin' Perfect,2010-12-24,3,spotify:album:3uok8QCPYBgdWV2HxQp5zw,https://open.spotify.com/album/3uok8QCPYBgdWV2HxQp5zw
93,single,6HnspnDTGO0iGliX6OuCTd,https://i.scdn.co/image/ab67616d0000b27372d674be73fb8100238c4dd7,Here for You,2015-09-04,1,spotify:album:6HnspnDTGO0iGliX6OuCTd,https://open.spotify.com/album/6HnspnDTGO0iGliX6OuCTd
94,album,2U0b5MfkMUgzdvRUI69mya,https://i.scdn.co/image/ab67616d0000b273ed17a14e09145f2986a42726,Peace Is The Mission : Extended,2015-11-27,14,spotify:album:2U0b5MfkMUgzdvRUI69mya,https://open.spotify.com/album/2U0b5MfkMUgzdvRUI69mya
95,single,5Ouuxga807CPAs81lSloBJ,https://i.scdn.co/image/ab67616d0000b27313dae8008773aede4a979a7d,DUELE EL CORAZON,2016-04-18,1,spotify:album:5Ouuxga807CPAs81lSloBJ,https://open.spotify.com/album/5Ouuxga807CPAs81lSloBJ
96,single,5HpxKbly5IcectEEfDu3WH,https://i.scdn.co/image/ab67616d0000b273c946af9f1536163e113785ef,Creatures Of The Night,2017-05-12,1,spotify:album:5HpxKbly5IcectEEfDu3WH,https://open.spotify.com/album/5HpxKbly5IcectEEfDu3WH
97,single,7nsWIOWiX7Zt0AdR5imU50,https://i.scdn.co/image/ab67616d0000b273f7ffc65ac66f1de04e0aa82f,Once In a While,2016-03-18,1,spotify:album:7nsWIOWiX7Zt0AdR5imU50,https://open.spotify.com/album/7nsWIOWiX7Zt0AdR5imU50
98,single,6Lkpf3qgu0bJuvbMUe3Lns,https://i.scdn.co/image/ab67616d0000b273a8e608ed1c2a3f0b76391b39,F**kin' Perfect,2010-12-24,2,spotify:album:6Lkpf3qgu0bJuvbMUe3Lns,https://open.spotify.com/album/6Lkpf3qgu0bJuvbMUe3Lns
